author,amount,content,likes,authorProfilePicture
"@DaBiggestBird-v1l","$2,00","Uhhhhhh wasnt me........","7,8 K","https://yt3.ggpht.com/ytc/AIdro_n6uXwQUZQrJSqgJ6ZF2m7yPyU86vA2cV06lZe_vIJ30N0POsPL-swpaX5qoZBX-P1M2A=s88-c-k-c0x00ffffff-no-rj"
"@Rob-u1y","$14,99","Bro founded a real Time traveler *edit3: this is five months old can yall stop spamming gimme some money or how on f Ing earth why would I do that","102 K","https://yt3.ggpht.com/hj7bVYAsfg3Uk3tLEcmCUzyX2A2k8zarx1UtJO1QTX36kjTeQvAHo2R9rA4GpBtyZZws0MMwYA=s88-c-k-c0x00ffffff-no-rj"
"@Emoji6575","$2,00","Bro got the time machine Edit: can yall stop being on my ass for donating like it's 2 dollars and I didn't even donate on his other shorts","112 K","null"
"@ILOVEPEPPERONIIL","€2,00","Thanks! Ellie's damn cooked","253","null"
"@Terrroxx","$2,00","Bro found a way","12 K","null"
"@Trina546","CA$5,00","Bro paid ,6.99 for time use ","7,1 K","null"
"@Tanjirokamado_123-f5w","$2,00","BRO DREAM CAME TRUE ","3 K","null"
"@Peyton_1357","$1,99","Bro really got a time traveler already","3,6 K","null"
"@Adventuresofkpj","$1,99","The shortest time travel ever","1,7 K","null"
"@INVESTOR_JTD","NGN 400,00","Bruh ain't no way! ","3,7 K","null"
"@Norway-Sewden","£2,00","Truely built different amir would be proud Edit: here's your 2 dola tip amir Edit2: 3k in 16h wth","3,9 K","null"
"@Kh_S07-j5x","AED 7,29","Do you think she’s the chosen one ?","5,5 K","null"
"@Jaiveerasdzxc","₹100,00","Bro is this real ","2,8 K","null"
"@Ketchup_oreos","CA$6,99","Nah I think bro saw his grandpa when he was young and pushed him off a cliff","3,7 K","null"
"@cyn8157","$1,99","Nice try diddy","733","https://yt3.ggpht.com/4V3KE2m649J-2fIaxUcDpYL7y0QTVckM8yNbi1qaU5U21pUkueLF57LS2TeUQ9SKqeyh3whTFA=s88-c-k-c0x00ffffff-no-rj"
"@Prime_YT474","NGN 400,00","Thanks!","4,9 K","null"
"@Papakoszdz12","PHP 50,00","Whoa so its really real??? ","2 K","null"
"@kuldeep_gamer252","₹40,00","Thanks","3 K","null"
"@Mrpurpleforshort","$1,99","What the rizz","2,6 K","null"
"@joaovictorsantos-rn7ex","R$2,00","Valeu!","4,2 K","null"
"@CharlieGoodman-q4c","£2,00","Prime Dio STANDing on business","397","null"
"@Methodzs","$2,00","Haha spending money is funnnn (I am currently $6000 in debt :D)","564","null"
"@OBRENEWED","$2,00","Do you know who joe is?","2,1 K","null"
"@GUMMYFN2025","NZ$2,00","Bro how","2 K","null"
"@hotokechannel2184","₹40,00","Wtf","2,3 K","https://yt3.ggpht.com/anUk0jcraj_GWXMqhXI2dnlcZeogSkQojAso6bar9h83b17lHkyNh3mSZ5Gj5FLdbt1vc9Ej0nY=s88-c-k-c0x00ffffff-no-rj"
"@cyraps","ZAR 14,00","I guess i join the heard ","784","null"
"@alaska-s5d","NGN 1.000,00","He got ahh time machine ","542","null"
"@moon-k2b","$1,99","Bro used”   “ /e time machine” to do that ","263","null"
"@mdmuhibullah5247","£9,99","Thanks","564","https://yt3.ggpht.com/ytc/AIdro_kTbkCgls7vFYvkZNl5Wozn98hzKEdz4UXzogKHpUnRts23=s88-c-k-c0x00ffffff-no-rj"
"@Mourakossstumbling","€10,00","Bro invented Tesleeping","5,7 K","null"
"@Blinkxly1987","MX$50,00","True brain power","2,9 K","null"
"@Pebbles_Epic","$2,00","Praise the Pebble","1,2 K","null"
"@Luke-v2x","$20,00","Thanks!","3,3 K","https://yt3.ggpht.com/P8VviPEEXdF4tX0NAvwuIZW1vGMO8YoVc3nosXjg4grblpwhoZswjqJdexItEAKpoFsx4my6Eg=s88-c-k-c0x00ffffff-no-rj"
"@Mourakossstumbling","€10,00","Bro is THE kind person     HOLY F**K 4K LIKES??  ONG 5K???","8 K","null"
"@Luke-v2x","$5,00","Bro it's just a chill guy","905","null"
"@BOSSK-G-n1t","ZAR 14,00","Bro Is very kind","2,5 K","null"
"@The_Nerfdealer","$1,99","Protect this dude🥹","4,5 K","null"
"@lionelpichipil6283","ARS 50,00","bro has no enemies ️","1,8 K","null"
"@Muzungu2007","£2,00","I'll take two tortoise","2,3 K","null"
