author,amount,content,likes,authorProfilePicture
"@Orion-j9h","$4,99","The teacher: THIS IS UNACCEPTABLE","48","https://yt3.ggpht.com/ytc/AIdro_k63hxNaym7o7XHBFip_GlgbEYCtcaIVS7oac5PdTO1zFbyUM1FWY_IKcO0pMDJ756b2Q=s88-c-k-c0x00ffffff-no-rj"
"@Orion-j9h","$4,99","Heartbreaking","230","https://yt3.ggpht.com/ytc/AIdro_k63hxNaym7o7XHBFip_GlgbEYCtcaIVS7oac5PdTO1zFbyUM1FWY_IKcO0pMDJ756b2Q=s88-c-k-c0x00ffffff-no-rj"
"@Orion-j9h","$9,99","GUESS WHOSE BACK, BACK AGAIN","830","https://yt3.ggpht.com/ytc/AIdro_k63hxNaym7o7XHBFip_GlgbEYCtcaIVS7oac5PdTO1zFbyUM1FWY_IKcO0pMDJ756b2Q=s88-c-k-c0x00ffffff-no-rj"
"@glendaobryan2957","$2,00","Is it jackie chan, or you zdakk?    :Edit: 46 likes!?!? I can't thank you guys enough!!!  :Edit 2: 100 LIKES!? THATS THE MOST IVE EVER HAD!!! TYYYY!!!!","183","null"
"@KawabelockPlays","AU$5,00","jackie chan is that one person that can solo most things keep it going zdak MORE DOLLAR DOLLAR","217","null"
"@george-l2t9x","£1,99","i’m caramel one ","894","https://yt3.ggpht.com/ytc/AIdro_lsVE1_XikidOQ_evy45xYjgM2WjueRp1AyDRShhDtBoScqLLIMkwgV1mp-befwAKFjTQ=s88-c-k-c0x00ffffff-no-rj"
"@Orion-j9h","$4,99","Banking is what I say do and think about can I get a shoutout on next video?","148","https://yt3.ggpht.com/ytc/AIdro_k63hxNaym7o7XHBFip_GlgbEYCtcaIVS7oac5PdTO1zFbyUM1FWY_IKcO0pMDJ756b2Q=s88-c-k-c0x00ffffff-no-rj"
"@Orion-j9h","$4,99","Bro it’s giving homeless people on the streets","4,1 K","https://yt3.ggpht.com/ytc/AIdro_k63hxNaym7o7XHBFip_GlgbEYCtcaIVS7oac5PdTO1zFbyUM1FWY_IKcO0pMDJ756b2Q=s88-c-k-c0x00ffffff-no-rj"
"@alexpriork2d","$2,00","i feel sad for bruv","1,3 K","null"
"@KawabelockPlays","AU$2,00","enjoy this australian dollar, thank you for keeping me entertained","483","null"
"@Orion-j9h","$1,99","I use my pants","2,5 K","https://yt3.ggpht.com/ytc/AIdro_k63hxNaym7o7XHBFip_GlgbEYCtcaIVS7oac5PdTO1zFbyUM1FWY_IKcO0pMDJ756b2Q=s88-c-k-c0x00ffffff-no-rj"
"@Orion-j9h","$1,99","I use my pants","441","null"
"@JuiceyJoshey","$4,99","Hi        ⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⣀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⣾⣿⠟⢻⡀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠹⣿⣳⠖⠳⣄⡀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⡤⠒⠀⠂⡾⠉⠀⠀⠀⠀⠉⢳⡄⣄⡀⠀⠀ ⠀⠀⠀⢸⡥⠀⣀⡼⢁⠀⢰⡄⠀⡄⠀⠀⣧⠀⠙⡆⠀ ⠀⢀⣠⠼⠗⠚⠉⠠⠋⠀⠀⢷⣠⣧⠀⠀⠈⠳⢤⣇⠀ ⠀⣾⣟⠒⠦⣄⠀⠀⠀⣠⡴⠋⠁⢈⠛⢦⣄⣠⣴⣾⣷ ⢀⡟⠙⢶⣤⠬⠷⣼⡏⠉⠉⢩⡍⠹⠦⢤⣿⣤⣨⣿⠈ ⡾⣡⠆⠁⠀⠀⠀⢠⡀⠀⠀⠀⢱⡀⠀⠂⠙⠎⠻⡅⠀ ⢿⠁⠒⣤⠤⣤⣀⠀⢧⠀⠀⠀⣸⠃⠀⠀⠀⡶⣤⣽⠀ ⠈⠳⣴⡇⠀⠀⠈⠛⢦⣄⣠⠾⢿⣄⣀⣠⠾⣡⠞⠁⠀ ⠀⠀⠈⠉⠉⠉⠁⢧⢠⠟⣽⠀⢿⠀⢧⢰⡈⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠐⢫⠏⢸⠁⠀⠈⢳⠘⢧⣙⢦⠀","171","https://yt3.ggpht.com/Jbc8ZmgYmjL2vo5AcfqkQURk0sinT9pDwe4Y-3Et2rPy2x2-3pkD2OoXIQIRvglMUKMM9D03Mg=s88-c-k-c0x00ffffff-no-rj"
"@Plushies1111Cave","$1,99","Rock  Paper  Scissors ️","151","null"
"@samriddhaojha5978","₹40,00","That predator would be my friend who edgegoons to all existing living and non living thing in this universe.   Btw. P.diddy learned edging from him.   Hope one day u will also learn from him. ","1,9 K","https://yt3.ggpht.com/ytc/AIdro_k5d2sZKLHAf2FWp7IscBQwg_NEc7jadDnWIx0WL0cUGKw=s88-c-k-c0x00ffffff-no-rj"
"@android_forever","€10,00","Just for fun now you have some EURO's","1,7 K","https://yt3.ggpht.com/p8vGRDstVP5Bw1CBXevI-5gIBBbp2iqxIzVG-49bUm44VaAxT8yUHmqGgh31s1OAJacKd1gLetg=s88-c-k-c0x00ffffff-no-rj"
"@jacquesstrydom2074","AU$2,99","Zdak you are my glorious king please reply ️️","283","null"
"@GTSVR","R$10,00","Here's some robux","619","null"
"@ThuyThanh-rl3cg","₫20.000","bro actually need an award","158","null"
"@Plushies1111Cave","$1,99","Hello! They Look Kind Of The Same.","236","null"
"@Epicshiner5","₹40,00","No one should expirience this Btw kepp this indian money ma boi zdak","14 K","https://yt3.ggpht.com/pTG0ml4OpSEGGFeM4SI-Ner73f3erBZYvCzrCt9wph4-YMPlsWhzdJPyY1hFIswpe1nyeTE_Pog=s88-c-k-c0x00ffffff-no-rj"
"@MooMemez","AU$2,99","I found this channel a while ago and it low-key pushed me to start posting. Just wanted to say thanks for the spark ","398","https://yt3.ggpht.com/eoYevSskP7HfjMLMjC6JX6o0pITXiCFApfU8sjAdgUgVC7T4GAkUIA3w9I6fFNweXQdXMQIqJw=s88-c-k-c0x00ffffff-no-rj"
"@hedgecraftTheReal","£5,00","And that's why Tatoos are permanent     Enjoy the bri'sh bucks  I'm bored so.. yeah..  Stop looking         No         There's nothing                Stop             Bro                  OK, just enjoy your free money from bored me","252","https://yt3.ggpht.com/NyIvjPP5nHfwLCPKVuDtJLR1eaz7MyPyZflq3mUx6xNNsucNiFj5tRMqv_qm9_YVemCpPfEzNzk=s88-c-k-c0x00ffffff-no-rj"
"@UsedManner51","₹40,00","I love ur videos.. can we be friends??","171","https://yt3.ggpht.com/ytc/AIdro_lqybv1ymmQZzV-g7nROuYqYvRtqWJrzgIBL02smStPjjYqrzc547dVBcr4Ak5lP7MDAg=s88-c-k-c0x00ffffff-no-rj"
"@skydoesstuff7129","AU$2,99","I mean, can’t have anybody crashing on the way to dominoes!  In other words, why do I suddenly crave pizza?","238","https://yt3.ggpht.com/m3q72FXJz364fIWxTvV4X4js2q_P59DbbsZhHFVc-cdcM2A4OrFfx2umlMFm0ynqEUEpu7TAPA=s88-c-k-c0x00ffffff-no-rj"
"@Beeks.Synergies","₹40,00","No one donated? I WILL","74","https://yt3.ggpht.com/9QOhWHIjDgMKRKn_nj4zqtlJX9ZHT4pgadoxJYUFIga5ZvOLUOUEtmKANcFWs_u8moaEmwyA=s88-c-k-c0x00ffffff-no-rj"
"@Beeks.Synergies","₹100,00","LOL, sir was from baldi basics","2,9 K","https://yt3.ggpht.com/9QOhWHIjDgMKRKn_nj4zqtlJX9ZHT4pgadoxJYUFIga5ZvOLUOUEtmKANcFWs_u8moaEmwyA=s88-c-k-c0x00ffffff-no-rj"
"@clone_troopers","₩5.000","Do you also accept Korean money?","5,6 K","https://yt3.ggpht.com/ytc/AIdro_kyYAnVD77d7r3b0_iJZ9x5jF-AnMp1cUpkjXKpDhNTC_A=s88-c-k-c0x00ffffff-no-rj"
"@droj4n96","PHP 50,00","50 years later still the same emoji ","78","null"
"@AkiMizono","$1,99","Thanks!","287","null"
"@thedarkandniceone","$2,00","Money for funny man","574","null"
"@aylaege4049","₺20,00","Thank you.","143","null"
"@NikolasAn","€5,99","My eyes are blessed","13 K","https://yt3.ggpht.com/ytc/AIdro_mLKPfQfsYtfUyqqe6FpMayQRafZoRgOUnqIFjEi-enSreCJmiWcdakwZy3g21qd24UHw=s88-c-k-c0x00ffffff-no-rj"
"@Probaciniscopl","£1,99","Bro already regretting texting to his neighbour And nice to met you again zdak I got spare changes for you","571","https://yt3.ggpht.com/tFQ57lXfuGNY_hEzrU0bITmfAfn8jI-0cmEBhqrffBEsQ2IrD7IFUkW66lAy4MAWDZ2J9LhHLQ=s88-c-k-c0x00ffffff-no-rj"
"@Yohowudoing","R$54,90","This is 5x more ROBUCKS ","2,2 K","https://yt3.ggpht.com/ytc/AIdro_kHj9nqpXnFDhEREGYNzCu-o1X56TCYliH-F5EEJWPvAANcainiV0EAKhWxMDpWdctw5Q=s88-c-k-c0x00ffffff-no-rj"
"@Memezorrr","₹40,00","Memezorrr Will be future Zdak  Love you Brother ","662","null"
"@Yohowudoing","R$10,90","10 ROBUCKS","4,9 K","https://yt3.ggpht.com/ytc/AIdro_kHj9nqpXnFDhEREGYNzCu-o1X56TCYliH-F5EEJWPvAANcainiV0EAKhWxMDpWdctw5Q=s88-c-k-c0x00ffffff-no-rj"
"@ItsQerkz2345","$2,00","Hi zdak the goat heres another donation hope it helps ","6,7 K","https://yt3.ggpht.com/1Hxh7EX1LPjYZrwqwOOgp_Oo5G4Ccp6W5wf_DYqNvqOJjm0griFX0KZV5CxsWhOU88twyb11=s88-c-k-c0x00ffffff-no-rj"
"@EmberLife0","₹40,00","Nahhhhh bro wtf are you doing these days","2,1 K","null"
"@Memezorrr","₹40,00","@memezorrr and @zdak are Friends Now.. They both Cooks The best Memes ","245","null"
"@A7-k-j9s","BAM 5,00","Hvala!","148","https://yt3.ggpht.com/dwp2p0AioJFHLy_UrlA92UOcotdb8ZenuD7z1WUPV6RtKQ_CO-coJDqb4jKp8kEERkVINubMZCk=s88-c-k-c0x00ffffff-no-rj"
"@ItsQerkz2345","$2,00","Take the money Zdak ","128","null"
"@Memezorrr","₹40,00","Trying to be better Memer  , Can I get permanent ","65","null"
"@KamguyzaFa","$2,00","But... can he beat goku.... chat, he might be cooked (literally)...","13 K","https://yt3.ggpht.com/xKON4qSofqS9eNaFxxRHzNIeH2fdKPzU6uZtDCfkSp1Esi9oKsfJsUur5f5oeP9WLmBqOk1IDw=s88-c-k-c0x00ffffff-no-rj"
"@ElijahJones-b52","$1,99","Bro ain’t no way he beat it in a year","6,6 K","null"
"@Cool_user69","₹40,00","I am better than memezorrr","1,1 K","null"
"@silv3rwashere","$2,00","I once had a dream that Nikocado Avocado slammed me in a boxing match and I had a seizure.","4,2 K","https://yt3.ggpht.com/8C-Ni22pVizf45uAgwaxAGkGWLJvyHjXT1pzNw0oYi7Nq9q5sDtXnoSqv4IEZUhDtR6RHksq=s88-c-k-c0x00ffffff-no-rj"
"@gananshergill","₹40,00","I did this for no reason","452","null"
"@Dumb_ahh_memes","£1,99","This is all the spare change I have","1,5 K","https://yt3.ggpht.com/hDmdUNu8zi6VsrxL6M0gXDteCdEBNYNZwO48Ug9eMUOCubMUVEE154oyrjMCABQNlUjSx0VhYQ=s88-c-k-c0x00ffffff-no-rj"
"@ColinDiscord","₫20.000","Long time no see...(Sorry for shitty money, Im broke)","415","null"
"@Memezorrr","₹40,00","I am a famous youtuber  Joined A week ago","38","null"
"@Editsbyeuropeankid","SAR 7,99","I just wanna give bro a hug","6,6 K","https://yt3.ggpht.com/G5ZQzBbtaVMemTf6o4J--FBs2hzBJRzHw10pMez5UUhzlAk9iu9rj88GlWl32JkFvARuf0APSA=s88-c-k-c0x00ffffff-no-rj"
"@silv3rwashere","$2,00","Who donates to this guy ","3,2 K","null"
"@2KE-587","$25,00","Diddy or no diddy","7,6 K","https://yt3.ggpht.com/vz5HR1BBg6p-IHFfiIiQPzrq1-OjtgX3QNwUwwgJ2eYq-TQ4u5HYp-TthQKBx0M9ZFGIbc_TwX8=s88-c-k-c0x00ffffff-no-rj"
"@Patrick_yubinnikku","AU$7,99","Bro after he placed the red block: ","2,7 K","null"
"@Vortex_malice_player","₹40,00","New here. ","515","null"
"@Vail-l6n","$1,99","Thanks!","342","null"
"@KyleDoesVR","$2,00","How tf do you even pull that off?","495","https://yt3.ggpht.com/Tm7EwaBS4FdvjNEWNaGtUNNn0L-92c4bDjni9xWoWnVLDi9em2qJJQO2yPDe9uue0bfKdLmuPQ=s88-c-k-c0x00ffffff-no-rj"
"@skydoesstuff7129","AU$2,99","Happy pride month zdak! Thanks for being the only person that creates videos like these that isn’t homophobic","3","null"
"@M7MD_Alhashmi","AED 7,29","Why did no one talk about Ireland using  the most??","5,6 K","https://yt3.ggpht.com/GP7VjzPJWQkMo4_ZtWcyKvRz-U_cLK2_9UfGSLX1jRG3lhhIRMeKUPB5csBrKJm7lGQWCHjc-ws=s88-c-k-c0x00ffffff-no-rj"
"@solidsatadrive","₹40,00","Pin or Gay","39","null"
"@prk1299","₹40,00","Hey "Zdak" brother  I’ve been watching you since Jan 2025, and I subscribed to your channel before/after that. I just want to say your videos really inspired me!  About 2 weeks ago, I started my own meme channel after getting motivated by your content. I tried to upload high-quality meme videos just like yours, and within just 7-8 days, I gained around 10K subscribers. But now I’m facing a few problems and wanted to ask for some suggestions, if you don’t mind.  1. Is it necessary to post consistently every day, or is it okay to skip a day or two sometimes?  2. How many meme shorts should I ideally post per day?  3. What’s the best gap (in hours) between posting two videos in a single day?  4. Do I need to post at the same time every day? Sometimes I get delayed while editing, so my upload time varies.   Also, one major issue I’m facing now is with views. I’m still making good-quality videos, but recently most of my videos are getting only 30K-40K views in 24 hours. A few reach 1 lakh, but then the views suddenly stop growing. Could this be a timing issue? I usually upload my videos around 7 AM (morning) every day. Can you suggest whether morning, evening, or night is better for uploads?  I’d really appreciate it if you could give me a few tips or help me understand what might be going wrong. Thanks a lot for inspiring creators like me! ️️","2,2 K","https://yt3.ggpht.com/ceSnfng3ppvJF1TkQBvD4yLtp7WgIzlR_0--ZyeviQ_xLvx4QWIxUK3jkIGZnDvu9Bid-s3q=s88-c-k-c0x00ffffff-no-rj"
"@screwdråver","AU$10,00","Weird bro","3 K","https://yt3.ggpht.com/7z7uXz1XCp3o4Rb_roM5-SikuJBZ4amE6z3BKqCeAF5bx3QjhM-qQ9uUQ_y3-ozO5b_PAo4KcA=s88-c-k-c0x00ffffff-no-rj"
"@KyleDoesVR","$2,00","I've been watching your videos for a long time and can you please shout out me  Also I can read that with no issues at all","3,6 K","https://yt3.ggpht.com/Tm7EwaBS4FdvjNEWNaGtUNNn0L-92c4bDjni9xWoWnVLDi9em2qJJQO2yPDe9uue0bfKdLmuPQ=s88-c-k-c0x00ffffff-no-rj"
"@Vail-l6n","$1,99","Thanks!","504","null"
"@rimedteeny211","$1,99","*no comment","312","https://yt3.ggpht.com/uYfyNFgm8LsNIriFAilnXFFMzsX8zQO_rqhvbukCdHcDd8ZzvrCU0xXbe4JCjVm28yL4uZmF0A=s88-c-k-c0x00ffffff-no-rj"
"@IdiotsDownUnder","AU$2,99","Update: The person who took the photo posted an image with him and all 6 grandkids","12 K","https://yt3.ggpht.com/Ur_hHxDqIz0Y9U9qvNh_KNo1ixEOoiclZrWdoVbMGKAmLjLCzSsn_PrK9ovXET851EtxeVMCIQ=s88-c-k-c0x00ffffff-no-rj"
"@MddghfggFghh","SAR 10,00","He deserves a hug  he is so kind ","3,8 K","null"
"@rimedteeny211","$1,99","🫡","300","null"
"@tylerlanglois5320","CA$2,00","Thanks!","121","null"
"@JuiceyJoshey","$4,99","Robert Downey jr = Michael Jackson????","5,4 K","https://yt3.ggpht.com/Jbc8ZmgYmjL2vo5AcfqkQURk0sinT9pDwe4Y-3Et2rPy2x2-3pkD2OoXIQIRvglMUKMM9D03Mg=s88-c-k-c0x00ffffff-no-rj"
"@GamerWien","€2,00","The color of iron can change due different factors ..but at the end it's the same actor ...","519","null"
"@Flapjaq","$2,00","The genshin one is crazy.","1,4 K","https://yt3.ggpht.com/8N4o0AueSN7ZiRItm_btFMYnbcQ7z9i1ajrLzia6CknpCbH-3bCPD4fyOiYxlyqCBr6qHnBC=s88-c-k-c0x00ffffff-no-rj"
"@rimedteeny211","$4,99","bros just chill like that","313","https://yt3.ggpht.com/uYfyNFgm8LsNIriFAilnXFFMzsX8zQO_rqhvbukCdHcDd8ZzvrCU0xXbe4JCjVm28yL4uZmF0A=s88-c-k-c0x00ffffff-no-rj"
"@JuiceyJoshey","$4,99","What website can I buy it on?","1,8 K","https://yt3.ggpht.com/Jbc8ZmgYmjL2vo5AcfqkQURk0sinT9pDwe4Y-3Et2rPy2x2-3pkD2OoXIQIRvglMUKMM9D03Mg=s88-c-k-c0x00ffffff-no-rj"
"@ham_burger_cheese_bigmack_1220","NZ$2,00","Looks like those electric vacum cleaner","125","https://yt3.ggpht.com/uVhOmGLBrmsRvLoEW6Hhi0tAKzEh_TQMkI6uX_YRhLJTo7pz707gh0V4wPbwiMT4P9NPr8-dbQ=s88-c-k-c0x00ffffff-no-rj"
"@TreverHeathcock","$2,00","Bro me when I realized:","560","https://yt3.ggpht.com/piJNJrR9qGYgp5vvy3t4ryMlWxgYb7zhFM1yKlbQYt2Mv0vlae2C_zk46Axhs604qJZvUHtM0tA=s88-c-k-c0x00ffffff-no-rj"
"@supervsion","₹40,00","Hey  zdak ","3,1 K","null"
"@Gecko28.","$2,00","Long time no see","204","https://yt3.ggpht.com/jNaHIz9wW64cWsQicROcQ3e-z5smFEXAKfGMrfj4jzbjJpVqdC9XcrfucU2RBBYapjpOuGVtVA=s88-c-k-c0x00ffffff-no-rj"
"@EmberLife0","₹40,00","Bro got the language correction rizz","112","null"
"@Gecko28.","$2,00","I always come back","8,5 K","https://yt3.ggpht.com/jNaHIz9wW64cWsQicROcQ3e-z5smFEXAKfGMrfj4jzbjJpVqdC9XcrfucU2RBBYapjpOuGVtVA=s88-c-k-c0x00ffffff-no-rj"
"@tacoman3723","$1,99","My first thought was ninja since you never see them. What other word could it possibly be","617","null"
"@JuiceyJoshey","$4,99","⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⣀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⣾⣿⠟⢻⡀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠹⣿⣳⠖⠳⣄⡀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⡤⠒⠀⠂⡾⠉⠀⠀⠀⠀⠉⢳⡄⣄⡀⠀⠀ ⠀⠀⠀⢸⡥⠀⣀⡼⢁⠀⢰⡄⠀⡄⠀⠀⣧⠀⠙⡆⠀ ⠀⢀⣠⠼⠗⠚⠉⠠⠋⠀⠀⢷⣠⣧⠀⠀⠈⠳⢤⣇⠀ ⠀⣾⣟⠒⠦⣄⠀⠀⠀⣠⡴⠋⠁⢈⠛⢦⣄⣠⣴⣾⣷ ⢀⡟⠙⢶⣤⠬⠷⣼⡏⠉⠉⢩⡍⠹⠦⢤⣿⣤⣨⣿⠈ ⡾⣡⠆⠁⠀⠀⠀⢠⡀⠀⠀⠀⢱⡀⠀⠂⠙⠎⠻⡅⠀ ⢿⠁⠒⣤⠤⣤⣀⠀⢧⠀⠀⠀⣸⠃⠀⠀⠀⡶⣤⣽⠀ ⠈⠳⣴⡇⠀⠀⠈⠛⢦⣄⣠⠾⢿⣄⣀⣠⠾⣡⠞⠁⠀ ⠀⠀⠈⠉⠉⠉⠁⢧⢠⠟⣽⠀⢿⠀⢧⢰⡈⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠐⢫⠏⢸⠁⠀⠈⢳⠘⢧⣙⢦⠀","174","https://yt3.ggpht.com/Jbc8ZmgYmjL2vo5AcfqkQURk0sinT9pDwe4Y-3Et2rPy2x2-3pkD2OoXIQIRvglMUKMM9D03Mg=s88-c-k-c0x00ffffff-no-rj"
"@supervsion","₹40,00","Hey zdak can i use your clips for uploading them on my yt channel , i will give you credit in those shorts ","142","null"
"@Gecko28.","$2,00","Guess who's back, back again","1,7 K","https://yt3.ggpht.com/jNaHIz9wW64cWsQicROcQ3e-z5smFEXAKfGMrfj4jzbjJpVqdC9XcrfucU2RBBYapjpOuGVtVA=s88-c-k-c0x00ffffff-no-rj"
"@EmberLife0","₹40,00","Bro's thinking in incognito ","987","https://yt3.ggpht.com/VvFFafoEdQqy9Lf1q_yPT3H7mNvPW49vII50GbfUeAyQqsA8fVtb2GeQHwlLQ2bPwsR1xoRAtw=s88-c-k-c0x00ffffff-no-rj"
"@KrishnnaXD","₹179,00","sup zdak, remember me? (As always im here before everyone)","191","https://yt3.ggpht.com/PFlPIOiw6klJz_FBIfWyrPKZGCpeTGMDXVZzrFYqCTG1v07Zw18aBKhXWJBmT2uJC3jfH5ik=s88-c-k-c0x00ffffff-no-rj"
"@icenfireyt5231","₹40,00","This is called instant satisfaction ","87","null"
"@EmberLife0","₹40,00","Don't forget there's hindi too brother ","3,3 K","https://yt3.ggpht.com/VvFFafoEdQqy9Lf1q_yPT3H7mNvPW49vII50GbfUeAyQqsA8fVtb2GeQHwlLQ2bPwsR1xoRAtw=s88-c-k-c0x00ffffff-no-rj"
"@yngngadmz","$1,99","Architect has AURA","19 K","https://yt3.ggpht.com/nTPFOr-Hf2-8X8K8wm4CByKxQqDAO52DHIYZakUk6vH7bW2jAyja_T5YoAYXi8kOPhzFDZxRDA=s88-c-k-c0x00ffffff-no-rj"
"@EmberLife0","₹100,00","I'm a car mechanic and electrician and i can bet you 100 that both ways are not secure ","5,4 K","null"
"@skydoesstuff7129","AU$2,99","Hey bro, you dropped this 3 dollars","508","null"
"@icenfireyt5231","₹40,00","Just sit on the ground its easy :)","578","null"
"@monkeking119","₺20,00","Zdak im your follower from Türkiye🇹🇷  Btw burger king still bad at making some chicken burger tbh i prefer eat McDonald's:/   Btw bro good luck","229","https://yt3.ggpht.com/e93IwyfAJi-ULJIAmdJOGQ18qhoAuHR9ix7p7qB7ah4qWkq7mat-uy45ivnJB4339IfDKPUn=s88-c-k-c0x00ffffff-no-rj"
"@BHDFish","$1,99","I would too tbh","3,8 K","https://yt3.ggpht.com/FHR2sBjYLqWwfTPYPvTYbQEYZVBq215mHTpqkmolDrlJGSzbE2qsPlLtu7y5ONeDLHwwHxXTh68=s88-c-k-c0x00ffffff-no-rj"
"@Chıckendude1shorts","CHF 10,00","Here some Money legend and your Videos Are so good","1,8 K","https://yt3.ggpht.com/37xHzalOyrBnx76eZhegGQ60nyk2rl6PGqdsXpgnptpVz5zw9nEle7n2uMnkDHLLXYMR5xDzdQ=s88-c-k-c0x00ffffff-no-rj"
"@the_joner5554","$1,99","Not gonna lie this meme you put below made me die of cringe.","177","null"
"@Forbidden_agent-rt8lu","$5,00","Y'know. When I first saw you I thought you were pretty cringe but I like your channel enough to give your money. (P.S- big surprise at the bottom)                                                                              Get trammed.                                                      One more for good measure. ","1,4 K","https://yt3.ggpht.com/z9VaL835NPtshDAnq6VV96uc3MQzPsS9RjVQouM12xz8k54pvIh-tQsP45JJdEqa_mxyQbdOGOk=s88-c-k-c0x00ffffff-no-rj"
"@skydoesstuff7129","AU$2,99","Off topic but I just wanna say You are loved. It doesn’t matter wether you’re gay, straight, lesbian, trans, any part of the lgbtq, Christian, Muslim, an atheist, or any religion  Just know that you are loved and that will never change.","181","https://yt3.ggpht.com/m3q72FXJz364fIWxTvV4X4js2q_P59DbbsZhHFVc-cdcM2A4OrFfx2umlMFm0ynqEUEpu7TAPA=s88-c-k-c0x00ffffff-no-rj"
"@australiaball-q8z","AU$7,99","","3,1 K","https://yt3.ggpht.com/vNiErx7KNUphSkFMZ_6-d2wgGrzuaATbtIgVf79ML5LaVKyyJomiol1iebJGclZ0dj4d55IcjQ=s88-c-k-c0x00ffffff-no-rj"
"@kingpunda1167","CA$20,99","","3,5 K","https://yt3.ggpht.com/E7e1aOqoKven5BLKkPXzgQq8ARARRfM6CHbilykjwqsHvn_9eSiI1P7-70W-S43sYd0grAYZAs8=s88-c-k-c0x00ffffff-no-rj"
"@Bestqb6","$1,99","Thanks!","247","null"
"@LigmaballIlovekid","MYR 15,00","Sybau","94","null"
"@Patrick-m7g","£5,00","Bro prob forgot how to use money lol Edit: The fight in here is crazy like i just donated him £5 ","1,4 K","https://yt3.ggpht.com/ZAYneppBxCg8C287mZMnCzIzA0FGYCqlTlOTL4DZFYPxuLYbu_DZUtQBNdN3guTpAGj2yW3sxT8=s88-c-k-c0x00ffffff-no-rj"
"@skydoesstuff7129","AU$2,99","Like this comment if you want Zdak to oil up","8,5 K","https://yt3.ggpht.com/m3q72FXJz364fIWxTvV4X4js2q_P59DbbsZhHFVc-cdcM2A4OrFfx2umlMFm0ynqEUEpu7TAPA=s88-c-k-c0x00ffffff-no-rj"
"@Constant300ms","HK$10,00","general advice to focus on operation sealion first","4 K","https://yt3.ggpht.com/nLMhz4_Ph466zswBkwc4uJ49QCJ0gfA1gYx-utvXm9sOgAnkzwYkA7KnxUTNkIVlqBuBJhqR=s88-c-k-c0x00ffffff-no-rj"
"@2KE-587","$100,00","Oil up","503","https://yt3.ggpht.com/vz5HR1BBg6p-IHFfiIiQPzrq1-OjtgX3QNwUwwgJ2eYq-TQ4u5HYp-TthQKBx0M9ZFGIbc_TwX8=s88-c-k-c0x00ffffff-no-rj"
"@2KE-587","$50,00","John Deere or Case International?","95","null"
"@LigmaballIlovekid","MYR 6,00","Hi","222","null"
"@MAFlATHON","$1,99","Uhh Kadz We have a Problem…","149","https://yt3.ggpht.com/uHo8nuBlKdbF3V8Ur5YLU4fK2iw780fO4VF7ob-5tS-7_57-FBlHQyFtcNWW4Tew-PZmU48Ddow=s88-c-k-c0x00ffffff-no-rj"
"@keremgaming19","₺50,00","Lady: it smells like something burning wait why there is fire on m-","","https://yt3.ggpht.com/7civiQuby_a20wE15CyzqY7XnKuUtwGG1xEjMNZhjut-QZrxyT1iOQk7MBSiSuRYVW1oKTU2=s88-c-k-c0x00ffffff-no-rj"
"@Jshgsgsbsb","£9,99","Guys idk why u say it’s wrong… I use this method all the time! ","1,1 K","null"
"@2KE-587","$100,00","Ur the best zdak","537","null"
"@Patrick_yubinnikku","AU$7,99","Her brain not braining ","71","null"
"@UnStepDownXhavierTheGraylover","R$54,90","No donations? Let me fix that","775","null"
"@rimedteeny211","$4,99","the FBI agents will always be legends","863","https://yt3.ggpht.com/uYfyNFgm8LsNIriFAilnXFFMzsX8zQO_rqhvbukCdHcDd8ZzvrCU0xXbe4JCjVm28yL4uZmF0A=s88-c-k-c0x00ffffff-no-rj"
"@A.Professional.Newbie","₺50,00","Balls.","203","null"
"@sharkwithteeth87","$19,99","Thanks!","1,6 K","https://yt3.ggpht.com/3eUNG5WonF_gOpqc-DTRM72mzXa4z48gKTqqk89e8u3BzB1-QMDknJrOJQ3zJa1w7agf1oRs=s88-c-k-c0x00ffffff-no-rj"
"@Patrick_yubinnikku","AU$2,99","Bald people right now : ","75","null"
"@rafaelrocha8879","€2,00","Money from Portugal, we love you :)","1,2 K","https://yt3.ggpht.com/PJDuAcqFO1FlwVfG0pmFPUtJUPqxGGKHxzfY73cBCWHbloETOx_Eyzdx5THQ9z6cLtIX4pbJmXA=s88-c-k-c0x00ffffff-no-rj"
"@ColinDiscord","₫50.000","Im in a toilet sending this to you.","236","null"
"@iliveforjonny","₹40,00","I luv ur vids","59","null"
